Label,Method_Over,Model,MinorityMultiplier,APPLY_TOMEK,F1_mean,F1_std,BAS_mean,BAS_std,GM_mean,GM_std
Hepatobiliary disorders,SMOTE,RandomForest,1.3,False,0.7172905923919236,0.015416581550471292,0.6897537284261005,0.026511092409786545,0.6867108454815943,0.028988444778780806
Hepatobiliary disorders,SMOTE,Xgboost,1.3,False,0.6864041270006471,0.019637219427972044,0.6657404563068414,0.020731572082447584,0.6647837853413311,0.020847717698581878
Hepatobiliary disorders,ADASYN,RandomForest,1.3,False,0.7195526070807454,0.009950031446640275,0.6934422510010031,0.015184065107788913,0.69037498133207,0.017075838841041656
Hepatobiliary disorders,ADASYN,Xgboost,1.3,False,0.6835779821515017,0.009748366832126872,0.668143672131403,0.009761317289935538,0.6675343434285226,0.009333993719622237
Hepatobiliary disorders,RandomOverSampler,RandomForest,1.3,False,0.7037400516206547,0.015779857591489706,0.6968340749406785,0.021056642584336607,0.696184930177582,0.021317128254718674
Hepatobiliary disorders,RandomOverSampler,Xgboost,1.3,False,0.6628537069066714,0.017061083523712696,0.6633992673335665,0.01642756516273895,0.6628833254000718,0.016213124209593918
Reproductive system and breast disorders,SMOTE,RandomForest,1.3,False,0.6805225459024846,0.014892550461881955,0.6757197502571216,0.019155483633634614,0.6744153622404823,0.019568152737826725
Reproductive system and breast disorders,SMOTE,Xgboost,1.3,False,0.6780101971154804,0.016782886371545153,0.6750294719700535,0.0201501354957873,0.6727199093736326,0.01939334337680127
Reproductive system and breast disorders,ADASYN,RandomForest,1.3,False,0.6833640964384438,0.013176389459633652,0.6733645535543881,0.023515015981792297,0.6715973519856233,0.02536823441011873
Reproductive system and breast disorders,ADASYN,Xgboost,1.3,False,0.6799799251426254,0.016528630051338315,0.6749756205800772,0.026857577687081243,0.6738491015757055,0.025847149646385324
Reproductive system and breast disorders,RandomOverSampler,RandomForest,1.3,False,0.6654513671367603,0.014846827570331185,0.6714092541894912,0.02284532695710333,0.6692030801215157,0.021481920249349393
Reproductive system and breast disorders,RandomOverSampler,Xgboost,1.3,False,0.6601581609808811,0.0173674026291951,0.6698590404584758,0.02463627454324099,0.667214401147761,0.022956045226279944
